Capitulo,Palavras,Genero,Testamento,Livro,Livro_Abrev,Capitulo_Num
GN 1,719,Pentateuco,Antigo,Gênesis,gn,1
GN 2,544,Pentateuco,Antigo,Gênesis,gn,2
GN 3,599,Pentateuco,Antigo,Gênesis,gn,3
GN 4,556,Pentateuco,Antigo,Gênesis,gn,4
GN 5,344,Pentateuco,Antigo,Gênesis,gn,5
GN 6,481,Pentateuco,Antigo,Gênesis,gn,6
GN 7,513,Pentateuco,Antigo,Gênesis,gn,7
GN 8,494,Pentateuco,Antigo,Gênesis,gn,8
GN 9,554,Pentateuco,Antigo,Gênesis,gn,9
GN 10,433,Pentateuco,Antigo,Gênesis,gn,10
GN 11,481,Pentateuco,Antigo,Gênesis,gn,11
GN 12,438,Pentateuco,Antigo,Gênesis,gn,12
GN 13,392,Pentateuco,Antigo,Gênesis,gn,13
GN 14,553,Pentateuco,Antigo,Gênesis,gn,14
GN 15,399,Pentateuco,Antigo,Gênesis,gn,15
GN 16,355,Pentateuco,Antigo,Gênesis,gn,16
GN 17,569,Pentateuco,Antigo,Gênesis,gn,17
GN 18,722,Pentateuco,Antigo,Gênesis,gn,18
GN 19,927,Pentateuco,Antigo,Gênesis,gn,19
GN 20,429,Pentateuco,Antigo,Gênesis,gn,20
GN 21,631,Pentateuco,Antigo,Gênesis,gn,21
GN 22,505,Pentateuco,Antigo,Gênesis,gn,22
GN 23,425,Pentateuco,Antigo,Gênesis,gn,23
GN 24,1531,Pentateuco,Antigo,Gênesis,gn,24
GN 25,622,Pentateuco,Antigo,Gênesis,gn,25
GN 26,750,Pentateuco,Antigo,Gênesis,gn,26
GN 27,1079,Pentateuco,Antigo,Gênesis,gn,27
GN 28,530,Pentateuco,Antigo,Gênesis,gn,28
GN 29,734,Pentateuco,Antigo,Gênesis,gn,29
GN 30,933,Pentateuco,Antigo,Gênesis,gn,30
GN 31,1261,Pentateuco,Antigo,Gênesis,gn,31
GN 32,710,Pentateuco,Antigo,Gênesis,gn,32
GN 33,436,Pentateuco,Antigo,Gênesis,gn,33
GN 34,688,Pentateuco,Antigo,Gênesis,gn,34
GN 35,598,Pentateuco,Antigo,Gênesis,gn,35
GN 36,748,Pentateuco,Antigo,Gênesis,gn,36
GN 37,782,Pentateuco,Antigo,Gênesis,gn,37
GN 38,732,Pentateuco,Antigo,Gênesis,gn,38
GN 39,526,Pentateuco,Antigo,Gênesis,gn,39
GN 40,476,Pentateuco,Antigo,Gênesis,gn,40
GN 41,1192,Pentateuco,Antigo,Gênesis,gn,41
GN 42,902,Pentateuco,Antigo,Gênesis,gn,42
GN 43,844,Pentateuco,Antigo,Gênesis,gn,43
GN 44,799,Pentateuco,Antigo,Gênesis,gn,44
GN 45,660,Pentateuco,Antigo,Gênesis,gn,45
GN 46,657,Pentateuco,Antigo,Gênesis,gn,46
GN 47,818,Pentateuco,Antigo,Gênesis,gn,47
GN 48,606,Pentateuco,Antigo,Gênesis,gn,48
GN 49,685,Pentateuco,Antigo,Gênesis,gn,49
GN 50,615,Pentateuco,Antigo,Gênesis,gn,50
EX 1,392,Pentateuco,Antigo,Êxodo,ex,1
EX 2,554,Pentateuco,Antigo,Êxodo,ex,2
EX 3,645,Pentateuco,Antigo,Êxodo,ex,3
EX 4,733,Pentateuco,Antigo,Êxodo,ex,4
EX 5,511,Pentateuco,Antigo,Êxodo,ex,5
EX 6,612,Pentateuco,Antigo,Êxodo,ex,6
EX 7,613,Pentateuco,Antigo,Êxodo,ex,7
EX 8,846,Pentateuco,Antigo,Êxodo,ex,8
EX 9,852,Pentateuco,Antigo,Êxodo,ex,9
EX 10,790,Pentateuco,Antigo,Êxodo,ex,10
EX 11,258,Pentateuco,Antigo,Êxodo,ex,11
EX 12,1124,Pentateuco,Antigo,Êxodo,ex,12
EX 13,538,Pentateuco,Antigo,Êxodo,ex,13
EX 14,789,Pentateuco,Antigo,Êxodo,ex,14
EX 15,589,Pentateuco,Antigo,Êxodo,ex,15
EX 16,819,Pentateuco,Antigo,Êxodo,ex,16
EX 17,388,Pentateuco,Antigo,Êxodo,ex,17
EX 18,646,Pentateuco,Antigo,Êxodo,ex,18
EX 19,574,Pentateuco,Antigo,Êxodo,ex,19
EX 20,485,Pentateuco,Antigo,Êxodo,ex,20
EX 21,766,Pentateuco,Antigo,Êxodo,ex,21
EX 22,705,Pentateuco,Antigo,Êxodo,ex,22
EX 23,738,Pentateuco,Antigo,Êxodo,ex,23
EX 24,383,Pentateuco,Antigo,Êxodo,ex,24
EX 25,702,Pentateuco,Antigo,Êxodo,ex,25
EX 26,717,Pentateuco,Antigo,Êxodo,ex,26
EX 27,495,Pentateuco,Antigo,Êxodo,ex,27
EX 28,911,Pentateuco,Antigo,Êxodo,ex,28
EX 29,1006,Pentateuco,Antigo,Êxodo,ex,29
EX 30,759,Pentateuco,Antigo,Êxodo,ex,30
EX 31,363,Pentateuco,Antigo,Êxodo,ex,31
EX 32,866,Pentateuco,Antigo,Êxodo,ex,32
EX 33,569,Pentateuco,Antigo,Êxodo,ex,33
EX 34,853,Pentateuco,Antigo,Êxodo,ex,34
EX 35,695,Pentateuco,Antigo,Êxodo,ex,35
EX 36,755,Pentateuco,Antigo,Êxodo,ex,36
EX 37,580,Pentateuco,Antigo,Êxodo,ex,37
EX 38,753,Pentateuco,Antigo,Êxodo,ex,38
EX 39,898,Pentateuco,Antigo,Êxodo,ex,39
EX 40,641,Pentateuco,Antigo,Êxodo,ex,40
LV 1,389,Pentateuco,Antigo,Levítico,lv,1
LV 2,371,Pentateuco,Antigo,Levítico,lv,2
LV 3,403,Pentateuco,Antigo,Levítico,lv,3
LV 4,858,Pentateuco,Antigo,Levítico,lv,4
LV 5,528,Pentateuco,Antigo,Levítico,lv,5
LV 6,710,Pentateuco,Antigo,Levítico,lv,6
LV 7,833,Pentateuco,Antigo,Levítico,lv,7
LV 8,879,Pentateuco,Antigo,Levítico,lv,8
LV 9,548,Pentateuco,Antigo,Levítico,lv,9
LV 10,573,Pentateuco,Antigo,Levítico,lv,10
LV 11,918,Pentateuco,Antigo,Levítico,lv,11
LV 12,225,Pentateuco,Antigo,Levítico,lv,12
LV 13,1472,Pentateuco,Antigo,Levítico,lv,13
LV 14,1342,Pentateuco,Antigo,Levítico,lv,14
LV 15,785,Pentateuco,Antigo,Levítico,lv,15
LV 16,913,Pentateuco,Antigo,Levítico,lv,16
LV 17,389,Pentateuco,Antigo,Levítico,lv,17
LV 18,591,Pentateuco,Antigo,Levítico,lv,18
LV 19,764,Pentateuco,Antigo,Levítico,lv,19
LV 20,690,Pentateuco,Antigo,Levítico,lv,20
LV 21,513,Pentateuco,Antigo,Levítico,lv,21
LV 22,752,Pentateuco,Antigo,Levítico,lv,22
LV 23,985,Pentateuco,Antigo,Levítico,lv,23
LV 24,450,Pentateuco,Antigo,Levítico,lv,24
LV 25,1231,Pentateuco,Antigo,Levítico,lv,25
LV 26,1047,Pentateuco,Antigo,Levítico,lv,26
LV 27,778,Pentateuco,Antigo,Levítico,lv,27
NM 1,1034,Pentateuco,Antigo,Números,nm,1
NM 2,545,Pentateuco,Antigo,Números,nm,2
NM 3,1017,Pentateuco,Antigo,Números,nm,3
NM 4,1052,Pentateuco,Antigo,Números,nm,4
NM 5,727,Pentateuco,Antigo,Números,nm,5
NM 6,632,Pentateuco,Antigo,Números,nm,6
NM 7,1947,Pentateuco,Antigo,Números,nm,7
NM 8,545,Pentateuco,Antigo,Números,nm,8
NM 9,591,Pentateuco,Antigo,Números,nm,9
NM 10,678,Pentateuco,Antigo,Números,nm,10
NM 11,916,Pentateuco,Antigo,Números,nm,11
NM 12,333,Pentateuco,Antigo,Números,nm,12
NM 13,584,Pentateuco,Antigo,Números,nm,13
NM 14,979,Pentateuco,Antigo,Números,nm,14
NM 15,838,Pentateuco,Antigo,Números,nm,15
NM 16,1145,Pentateuco,Antigo,Números,nm,16
NM 17,261,Pentateuco,Antigo,Números,nm,17
NM 18,894,Pentateuco,Antigo,Números,nm,18
NM 19,595,Pentateuco,Antigo,Números,nm,19
NM 20,644,Pentateuco,Antigo,Números,nm,20
NM 21,761,Pentateuco,Antigo,Números,nm,21
NM 22,1000,Pentateuco,Antigo,Números,nm,22
NM 23,646,Pentateuco,Antigo,Números,nm,23
NM 24,531,Pentateuco,Antigo,Números,nm,24
NM 25,361,Pentateuco,Antigo,Números,nm,25
NM 26,1110,Pentateuco,Antigo,Números,nm,26
NM 27,467,Pentateuco,Antigo,Números,nm,27
NM 28,649,Pentateuco,Antigo,Números,nm,28
NM 29,822,Pentateuco,Antigo,Números,nm,29
NM 30,413,Pentateuco,Antigo,Números,nm,30
NM 31,911,Pentateuco,Antigo,Números,nm,31
NM 32,892,Pentateuco,Antigo,Números,nm,32
NM 33,728,Pentateuco,Antigo,Números,nm,33
NM 34,451,Pentateuco,Antigo,Números,nm,34
NM 35,779,Pentateuco,Antigo,Números,nm,35
NM 36,345,Pentateuco,Antigo,Números,nm,36
DT 1,1042,Pentateuco,Antigo,Deuteronômio,dt,1
DT 2,877,Pentateuco,Antigo,Deuteronômio,dt,2
DT 3,792,Pentateuco,Antigo,Deuteronômio,dt,3
DT 4,1326,Pentateuco,Antigo,Deuteronômio,dt,4
DT 5,800,Pentateuco,Antigo,Deuteronômio,dt,5
DT 6,581,Pentateuco,Antigo,Deuteronômio,dt,6
DT 7,771,Pentateuco,Antigo,Deuteronômio,dt,7
DT 8,512,Pentateuco,Antigo,Deuteronômio,dt,8
DT 9,864,Pentateuco,Antigo,Deuteronômio,dt,9
DT 10,562,Pentateuco,Antigo,Deuteronômio,dt,10
DT 11,844,Pentateuco,Antigo,Deuteronômio,dt,11
DT 12,928,Pentateuco,Antigo,Deuteronômio,dt,12
DT 13,487,Pentateuco,Antigo,Deuteronômio,dt,13
DT 14,583,Pentateuco,Antigo,Deuteronômio,dt,14
DT 15,613,Pentateuco,Antigo,Deuteronômio,dt,15
DT 16,616,Pentateuco,Antigo,Deuteronômio,dt,16
DT 17,550,Pentateuco,Antigo,Deuteronômio,dt,17
DT 18,506,Pentateuco,Antigo,Deuteronômio,dt,18
DT 19,537,Pentateuco,Antigo,Deuteronômio,dt,19
DT 20,494,Pentateuco,Antigo,Deuteronômio,dt,20
DT 21,601,Pentateuco,Antigo,Deuteronômio,dt,21
DT 22,730,Pentateuco,Antigo,Deuteronômio,dt,22
DT 23,545,Pentateuco,Antigo,Deuteronômio,dt,23
DT 24,591,Pentateuco,Antigo,Deuteronômio,dt,24
DT 25,450,Pentateuco,Antigo,Deuteronômio,dt,25
DT 26,574,Pentateuco,Antigo,Deuteronômio,dt,26
DT 27,479,Pentateuco,Antigo,Deuteronômio,dt,27
DT 28,1693,Pentateuco,Antigo,Deuteronômio,dt,28
DT 29,753,Pentateuco,Antigo,Deuteronômio,dt,29
DT 30,614,Pentateuco,Antigo,Deuteronômio,dt,30
DT 31,860,Pentateuco,Antigo,Deuteronômio,dt,31
DT 32,1173,Pentateuco,Antigo,Deuteronômio,dt,32
DT 33,743,Pentateuco,Antigo,Deuteronômio,dt,33
DT 34,301,Pentateuco,Antigo,Deuteronômio,dt,34
JS 1,508,Historia,Antigo,Josué,js,1
JS 2,628,Historia,Antigo,Josué,js,2
JS 3,424,Historia,Antigo,Josué,js,3
JS 4,535,Historia,Antigo,Josué,js,4
JS 5,411,Historia,Antigo,Josué,js,5
JS 6,740,Historia,Antigo,Josué,js,6
JS 7,779,Historia,Antigo,Josué,js,7
JS 8,955,Historia,Antigo,Josué,js,8
JS 9,652,Historia,Antigo,Josué,js,9
JS 10,1113,Historia,Antigo,Josué,js,10
JS 11,574,Historia,Antigo,Josué,js,11
JS 12,407,Historia,Antigo,Josué,js,12
JS 13,738,Historia,Antigo,Josué,js,13
JS 14,409,Historia,Antigo,Josué,js,14
JS 15,817,Historia,Antigo,Josué,js,15
JS 16,217,Historia,Antigo,Josué,js,16
JS 17,542,Historia,Antigo,Josué,js,17
JS 18,609,Historia,Antigo,Josué,js,18
JS 19,753,Historia,Antigo,Josué,js,19
JS 20,230,Historia,Antigo,Josué,js,20
JS 21,752,Historia,Antigo,Josué,js,21
JS 22,1023,Historia,Antigo,Josué,js,22
JS 23,475,Historia,Antigo,Josué,js,23
JS 24,915,Historia,Antigo,Josué,js,24
JZ 1,834,Historia,Antigo,Juízes,jz,1
JZ 2,575,Historia,Antigo,Juízes,jz,2
JZ 3,699,Historia,Antigo,Juízes,jz,3
JZ 4,613,Historia,Antigo,Juízes,jz,4
JZ 5,665,Historia,Antigo,Juízes,jz,5
JZ 6,1071,Historia,Antigo,Juízes,jz,6
JZ 7,780,Historia,Antigo,Juízes,jz,7
JZ 8,842,Historia,Antigo,Juízes,jz,8
JZ 9,1299,Historia,Antigo,Juízes,jz,9
JZ 10,381,Historia,Antigo,Juízes,jz,10
JZ 11,931,Historia,Antigo,Juízes,jz,11
JZ 12,338,Historia,Antigo,Juízes,jz,12
JZ 13,617,Historia,Antigo,Juízes,jz,13
JZ 14,581,Historia,Antigo,Juízes,jz,14
JZ 15,507,Historia,Antigo,Juízes,jz,15
JZ 16,968,Historia,Antigo,Juízes,jz,16
JZ 17,302,Historia,Antigo,Juízes,jz,17
JZ 18,825,Historia,Antigo,Juízes,jz,18
JZ 19,837,Historia,Antigo,Juízes,jz,19
JZ 20,1101,Historia,Antigo,Juízes,jz,20
JZ 21,571,Historia,Antigo,Juízes,jz,21
RT 1,537,Historia,Antigo,Rute,rt,1
RT 2,606,Historia,Antigo,Rute,rt,2
RT 3,444,Historia,Antigo,Rute,rt,3
RT 4,554,Historia,Antigo,Rute,rt,4
1SM 1,661,Historia,Antigo,1 Samuel,1sm,1
1SM 2,1009,Historia,Antigo,1 Samuel,1sm,2
1SM 3,468,Historia,Antigo,1 Samuel,1sm,3
1SM 4,573,Historia,Antigo,1 Samuel,1sm,4
1SM 5,364,Historia,Antigo,1 Samuel,1sm,5
1SM 6,648,Historia,Antigo,1 Samuel,1sm,6
1SM 7,456,Historia,Antigo,1 Samuel,1sm,7
1SM 8,452,Historia,Antigo,1 Samuel,1sm,8
1SM 9,781,Historia,Antigo,1 Samuel,1sm,9
1SM 10,683,Historia,Antigo,1 Samuel,1sm,10
1SM 11,397,Historia,Antigo,1 Samuel,1sm,11
1SM 12,676,Historia,Antigo,1 Samuel,1sm,12
1SM 13,587,Historia,Antigo,1 Samuel,1sm,13
1SM 14,1271,Historia,Antigo,1 Samuel,1sm,14
1SM 15,828,Historia,Antigo,1 Samuel,1sm,15
1SM 16,597,Historia,Antigo,1 Samuel,1sm,16
1SM 17,1420,Historia,Antigo,1 Samuel,1sm,17
1SM 18,708,Historia,Antigo,1 Samuel,1sm,18
1SM 19,628,Historia,Antigo,1 Samuel,1sm,19
1SM 20,1069,Historia,Antigo,1 Samuel,1sm,20
1SM 21,402,Historia,Antigo,1 Samuel,1sm,21
1SM 22,657,Historia,Antigo,1 Samuel,1sm,22
1SM 23,668,Historia,Antigo,1 Samuel,1sm,23
1SM 24,571,Historia,Antigo,1 Samuel,1sm,24
1SM 25,1187,Historia,Antigo,1 Samuel,1sm,25
1SM 26,711,Historia,Antigo,1 Samuel,1sm,26
1SM 27,281,Historia,Antigo,1 Samuel,1sm,27
1SM 28,620,Historia,Antigo,1 Samuel,1sm,28
1SM 29,335,Historia,Antigo,1 Samuel,1sm,29
1SM 30,712,Historia,Antigo,1 Samuel,1sm,30
1SM 31,312,Historia,Antigo,1 Samuel,1sm,31
2SM 1,583,Historia,Antigo,2 Samuel,2sm,1
2SM 2,721,Historia,Antigo,2 Samuel,2sm,2
2SM 3,1015,Historia,Antigo,2 Samuel,2sm,3
2SM 4,389,Historia,Antigo,2 Samuel,2sm,4
2SM 5,563,Historia,Antigo,2 Samuel,2sm,5
2SM 6,594,Historia,Antigo,2 Samuel,2sm,6
2SM 7,746,Historia,Antigo,2 Samuel,2sm,7
2SM 8,413,Historia,Antigo,2 Samuel,2sm,8
2SM 9,337,Historia,Antigo,2 Samuel,2sm,9
2SM 10,516,Historia,Antigo,2 Samuel,2sm,10
2SM 11,661,Historia,Antigo,2 Samuel,2sm,11
2SM 12,798,Historia,Antigo,2 Samuel,2sm,12
2SM 13,971,Historia,Antigo,2 Samuel,2sm,13
2SM 14,916,Historia,Antigo,2 Samuel,2sm,14
2SM 15,908,Historia,Antigo,2 Samuel,2sm,15
2SM 16,601,Historia,Antigo,2 Samuel,2sm,16
2SM 17,768,Historia,Antigo,2 Samuel,2sm,17
2SM 18,971,Historia,Antigo,2 Samuel,2sm,18
2SM 19,1246,Historia,Antigo,2 Samuel,2sm,19
2SM 20,694,Historia,Antigo,2 Samuel,2sm,20
2SM 21,650,Historia,Antigo,2 Samuel,2sm,21
2SM 22,789,Historia,Antigo,2 Samuel,2sm,22
2SM 23,750,Historia,Antigo,2 Samuel,2sm,23
2SM 24,704,Historia,Antigo,2 Samuel,2sm,24
1RS 1,1296,Historia,Antigo,1 Reis,1rs,1
1RS 2,1277,Historia,Antigo,1 Reis,1rs,2
1RS 3,721,Historia,Antigo,1 Reis,1rs,3
1RS 4,643,Historia,Antigo,1 Reis,1rs,4
1RS 5,473,Historia,Antigo,1 Reis,1rs,5
1RS 6,840,Historia,Antigo,1 Reis,1rs,6
1RS 7,1295,Historia,Antigo,1 Reis,1rs,7
1RS 8,1905,Historia,Antigo,1 Reis,1rs,8
1RS 9,694,Historia,Antigo,1 Reis,1rs,9
1RS 10,746,Historia,Antigo,1 Reis,1rs,10
1RS 11,1125,Historia,Antigo,1 Reis,1rs,11
1RS 12,835,Historia,Antigo,1 Reis,1rs,12
1RS 13,907,Historia,Antigo,1 Reis,1rs,13
1RS 14,822,Historia,Antigo,1 Reis,1rs,14
1RS 15,848,Historia,Antigo,1 Reis,1rs,15
1RS 16,904,Historia,Antigo,1 Reis,1rs,16
1RS 17,580,Historia,Antigo,1 Reis,1rs,17
1RS 18,1218,Historia,Antigo,1 Reis,1rs,18
1RS 19,628,Historia,Antigo,1 Reis,1rs,19
1RS 20,1232,Historia,Antigo,1 Reis,1rs,20
1RS 21,731,Historia,Antigo,1 Reis,1rs,21
1RS 22,1290,Historia,Antigo,1 Reis,1rs,22
2RS 1,506,Historia,Antigo,2 Reis,2rs,1
2RS 2,670,Historia,Antigo,2 Reis,2rs,2
2RS 3,723,Historia,Antigo,2 Reis,2rs,3
2RS 4,1135,Historia,Antigo,2 Reis,2rs,4
2RS 5,837,Historia,Antigo,2 Reis,2rs,5
2RS 6,855,Historia,Antigo,2 Reis,2rs,6
2RS 7,665,Historia,Antigo,2 Reis,2rs,7
2RS 8,830,Historia,Antigo,2 Reis,2rs,8
2RS 9,1032,Historia,Antigo,2 Reis,2rs,9
2RS 10,1007,Historia,Antigo,2 Reis,2rs,10
2RS 11,602,Historia,Antigo,2 Reis,2rs,11
2RS 12,553,Historia,Antigo,2 Reis,2rs,12
2RS 13,674,Historia,Antigo,2 Reis,2rs,13
2RS 14,757,Historia,Antigo,2 Reis,2rs,14
2RS 15,916,Historia,Antigo,2 Reis,2rs,15
2RS 16,559,Historia,Antigo,2 Reis,2rs,16
2RS 17,1057,Historia,Antigo,2 Reis,2rs,17
2RS 18,1056,Historia,Antigo,2 Reis,2rs,18
2RS 19,979,Historia,Antigo,2 Reis,2rs,19
2RS 20,531,Historia,Antigo,2 Reis,2rs,20
2RS 21,644,Historia,Antigo,2 Reis,2rs,21
2RS 22,566,Historia,Antigo,2 Reis,2rs,22
2RS 23,1248,Historia,Antigo,2 Reis,2rs,23
2RS 24,503,Historia,Antigo,2 Reis,2rs,24
2RS 25,761,Historia,Antigo,2 Reis,2rs,25
1CR 1,630,Historia,Antigo,1 Crônicas,1cr,1
1CR 2,790,Historia,Antigo,1 Crônicas,1cr,2
1CR 3,368,Historia,Antigo,1 Crônicas,1cr,3
1CR 4,746,Historia,Antigo,1 Crônicas,1cr,4
1CR 5,642,Historia,Antigo,1 Crônicas,1cr,5
1CR 6,1064,Historia,Antigo,1 Crônicas,1cr,6
1CR 7,735,Historia,Antigo,1 Crônicas,1cr,7
1CR 8,417,Historia,Antigo,1 Crônicas,1cr,8
1CR 9,824,Historia,Antigo,1 Crônicas,1cr,9
1CR 10,327,Historia,Antigo,1 Crônicas,1cr,10
1CR 11,841,Historia,Antigo,1 Crônicas,1cr,11
1CR 12,818,Historia,Antigo,1 Crônicas,1cr,12
1CR 13,330,Historia,Antigo,1 Crônicas,1cr,13
1CR 14,318,Historia,Antigo,1 Crônicas,1cr,14
1CR 15,592,Historia,Antigo,1 Crônicas,1cr,15
1CR 16,764,Historia,Antigo,1 Crônicas,1cr,16
1CR 17,679,Historia,Antigo,1 Crônicas,1cr,17
1CR 18,374,Historia,Antigo,1 Crônicas,1cr,18
1CR 19,520,Historia,Antigo,1 Crônicas,1cr,19
1CR 20,233,Historia,Antigo,1 Crônicas,1cr,20
1CR 21,780,Historia,Antigo,1 Crônicas,1cr,21
1CR 22,576,Historia,Antigo,1 Crônicas,1cr,22
1CR 23,633,Historia,Antigo,1 Crônicas,1cr,23
1CR 24,497,Historia,Antigo,1 Crônicas,1cr,24
1CR 25,554,Historia,Antigo,1 Crônicas,1cr,25
1CR 26,688,Historia,Antigo,1 Crônicas,1cr,26
1CR 27,684,Historia,Antigo,1 Crônicas,1cr,27
1CR 28,746,Historia,Antigo,1 Crônicas,1cr,28
1CR 29,853,Historia,Antigo,1 Crônicas,1cr,29
2CR 1,427,Historia,Antigo,2 Crônicas,2cr,1
2CR 2,571,Historia,Antigo,2 Crônicas,2cr,2
2CR 3,356,Historia,Antigo,2 Crônicas,2cr,3
2CR 4,523,Historia,Antigo,2 Crônicas,2cr,4
2CR 5,397,Historia,Antigo,2 Crônicas,2cr,5
2CR 6,1273,Historia,Antigo,2 Crônicas,2cr,6
2CR 7,656,Historia,Antigo,2 Crônicas,2cr,7
2CR 8,437,Historia,Antigo,2 Crônicas,2cr,8
2CR 9,791,Historia,Antigo,2 Crônicas,2cr,9
2CR 10,476,Historia,Antigo,2 Crônicas,2cr,10
2CR 11,435,Historia,Antigo,2 Crônicas,2cr,11
2CR 12,414,Historia,Antigo,2 Crônicas,2cr,12
2CR 13,573,Historia,Antigo,2 Crônicas,2cr,13
2CR 14,425,Historia,Antigo,2 Crônicas,2cr,14
2CR 15,480,Historia,Antigo,2 Crônicas,2cr,15
2CR 16,413,Historia,Antigo,2 Crônicas,2cr,16
2CR 17,364,Historia,Antigo,2 Crônicas,2cr,17
2CR 18,858,Historia,Antigo,2 Crônicas,2cr,18
2CR 19,332,Historia,Antigo,2 Crônicas,2cr,19
2CR 20,1005,Historia,Antigo,2 Crônicas,2cr,20
2CR 21,547,Historia,Antigo,2 Crônicas,2cr,21
2CR 22,390,Historia,Antigo,2 Crônicas,2cr,22
2CR 23,629,Historia,Antigo,2 Crônicas,2cr,23
2CR 24,797,Historia,Antigo,2 Crônicas,2cr,24
2CR 25,815,Historia,Antigo,2 Crônicas,2cr,25
2CR 26,627,Historia,Antigo,2 Crônicas,2cr,26
2CR 27,208,Historia,Antigo,2 Crônicas,2cr,27
2CR 28,736,Historia,Antigo,2 Crônicas,2cr,28
2CR 29,959,Historia,Antigo,2 Crônicas,2cr,29
